date,Basel
2021-06-11 08:00:00,17.73053
2021-06-11 09:00:00,19.81053
2021-06-11 10:00:00,21.690529
2021-06-11 11:00:00,22.740528
2021-06-11 12:00:00,23.410528
2021-06-11 13:00:00,24.010529
2021-06-11 14:00:00,25.65053
2021-06-11 15:00:00,26.06053
2021-06-11 16:00:00,26.31053
2021-06-11 17:00:00,26.440529
2021-06-11 18:00:00,26.420528
2021-06-11 19:00:00,26.170528
2021-06-11 20:00:00,25.55053
2021-06-11 21:00:00,24.54053
2021-06-11 22:00:00,23.31053
2021-06-11 23:00:00,21.610529
2021-06-12 00:00:00,20.80053
2021-06-12 01:00:00,20.21053
2021-06-12 02:00:00,19.000528
2021-06-12 03:00:00,18.250528
2021-06-12 04:00:00,17.910528
2021-06-12 05:00:00,17.71053
2021-06-12 06:00:00,17.670528
2021-06-12 07:00:00,18.13053
2021-06-12 08:00:00,19.31053
2021-06-12 09:00:00,20.96053
2021-06-12 10:00:00,22.97053
2021-06-12 11:00:00,24.38053
2021-06-12 12:00:00,25.20053
2021-06-12 13:00:00,25.940529
2021-06-12 14:00:00,27.170528
2021-06-12 15:00:00,27.32053
2021-06-12 16:00:00,27.510529
2021-06-12 17:00:00,27.500528
2021-06-12 18:00:00,27.15053
2021-06-12 19:00:00,26.56053
2021-06-12 20:00:00,25.88053
2021-06-12 21:00:00,24.510529
2021-06-12 22:00:00,22.680529
2021-06-12 23:00:00,21.840528
2021-06-13 00:00:00,20.23053
2021-06-13 01:00:00,18.96053
2021-06-13 02:00:00,17.930529
2021-06-13 03:00:00,16.910528
2021-06-13 04:00:00,16.590528
2021-06-13 05:00:00,15.530529
2021-06-13 06:00:00,14.730529
2021-06-13 07:00:00,15.170529
2021-06-13 08:00:00,16.12053
2021-06-13 09:00:00,17.62053
2021-06-13 10:00:00,19.38053
2021-06-13 11:00:00,20.98053
2021-06-13 12:00:00,22.240528
2021-06-13 13:00:00,23.250528
2021-06-13 14:00:00,24.180529
2021-06-13 15:00:00,24.760529
2021-06-13 16:00:00,24.940529
2021-06-13 17:00:00,24.96053
2021-06-13 18:00:00,24.57053
2021-06-13 19:00:00,24.080528
2021-06-13 20:00:00,23.15053
2021-06-13 21:00:00,21.420528
2021-06-13 22:00:00,19.680529
2021-06-13 23:00:00,18.110529
2021-06-14 00:00:00,16.64053
2021-06-14 01:00:00,15.270529
2021-06-14 02:00:00,13.930529
2021-06-14 03:00:00,13.090529
2021-06-14 04:00:00,12.240529
2021-06-14 05:00:00,11.480529
2021-06-14 06:00:00,10.820529
2021-06-14 07:00:00,12.040529
2021-06-14 08:00:00,14.230529
2021-06-14 09:00:00,17.29053
2021-06-14 10:00:00,20.590528
2021-06-14 11:00:00,22.72053
2021-06-14 12:00:00,24.360529
2021-06-14 13:00:00,25.420528
2021-06-14 14:00:00,25.57053
2021-06-14 15:00:00,26.31053
2021-06-14 16:00:00,27.260529
2021-06-14 17:00:00,27.780529
2021-06-14 18:00:00,27.770529
2021-06-14 19:00:00,27.46053
2021-06-14 20:00:00,26.81053
2021-06-14 21:00:00,25.56053
2021-06-14 22:00:00,23.760529
2021-06-14 23:00:00,21.95053
2021-06-15 00:00:00,20.690529
2021-06-15 01:00:00,19.610529
2021-06-15 02:00:00,18.490528
2021-06-15 03:00:00,17.62053
2021-06-15 04:00:00,17.39053
2021-06-15 05:00:00,17.110529
2021-06-15 06:00:00,16.660528
2021-06-15 07:00:00,17.05053
2021-06-15 08:00:00,18.98053
2021-06-15 09:00:00,21.45053
2021-06-15 10:00:00,23.82053
2021-06-15 11:00:00,25.47053
2021-06-15 12:00:00,26.47053
2021-06-15 13:00:00,27.37053
2021-06-15 14:00:00,28.680529
2021-06-15 15:00:00,29.39053
2021-06-15 16:00:00,29.680529
2021-06-15 17:00:00,29.660528
2021-06-15 18:00:00,29.45053
2021-06-15 19:00:00,28.97053
2021-06-15 20:00:00,28.260529
2021-06-15 21:00:00,27.06053
2021-06-15 22:00:00,25.770529
2021-06-15 23:00:00,24.240528
2021-06-16 00:00:00,22.990528
2021-06-16 01:00:00,22.010529
2021-06-16 02:00:00,21.20053
2021-06-16 03:00:00,20.490528
2021-06-16 04:00:00,19.940529
2021-06-16 05:00:00,19.54053
2021-06-16 06:00:00,19.100529
2021-06-16 07:00:00,19.340528
2021-06-16 08:00:00,20.770529
2021-06-16 09:00:00,23.13053
2021-06-16 10:00:00,25.81053
2021-06-16 11:00:00,27.62053
2021-06-16 12:00:00,28.760529
2021-06-16 13:00:00,29.56053
2021-06-16 14:00:00,30.97053
2021-06-16 15:00:00,31.39053
2021-06-16 16:00:00,31.590528
2021-06-16 17:00:00,31.500528
2021-06-16 18:00:00,31.31053
2021-06-16 19:00:00,30.90053
2021-06-16 20:00:00,30.29053
2021-06-16 21:00:00,29.240528
2021-06-16 22:00:00,27.180529
2021-06-16 23:00:00,24.39053
2021-06-17 00:00:00,22.39053
2021-06-17 01:00:00,21.250528
2021-06-17 02:00:00,21.71053
2021-06-17 03:00:00,21.96053
2021-06-17 04:00:00,21.63053
2021-06-17 05:00:00,20.62053
2021-06-17 06:00:00,20.71053
2021-06-17 07:00:00,21.430529
2021-06-17 08:00:00,22.940529
2021-06-17 09:00:00,25.29053
2021-06-17 10:00:00,27.270529
2021-06-17 11:00:00,29.090528
2021-06-17 12:00:00,30.600529
2021-06-17 13:00:00,31.660528
2021-06-17 14:00:00,31.32053
2021-06-17 15:00:00,31.680529
2021-06-17 16:00:00,32.14053
2021-06-17 17:00:00,32.51053
2021-06-17 18:00:00,32.60053
2021-06-17 19:00:00,32.42053
2021-06-17 20:00:00,31.850529
2021-06-17 21:00:00,30.430529
2021-06-17 22:00:00,28.670528
2021-06-17 23:00:00,26.54053
2021-06-18 00:00:00,25.670528
2021-06-18 01:00:00,24.360529
2021-06-18 02:00:00,22.80053
2021-06-18 03:00:00,20.88053
2021-06-18 04:00:00,20.020529
2021-06-18 05:00:00,19.520529
2021-06-18 06:00:00,19.270529
2021-06-18 07:00:00,20.73053
2021-06-18 08:00:00,22.590528
2021-06-18 09:00:00,24.39053
2021-06-18 10:00:00,27.14053
2021-06-18 11:00:00,28.430529
2021-06-18 12:00:00,29.520529
2021-06-18 13:00:00,30.70053
2021-06-18 14:00:00,31.690529
2021-06-18 15:00:00,32.10053
2021-06-18 16:00:00,32.24053
2021-06-18 17:00:00,31.010529
2021-06-18 18:00:00,28.96053
2021-06-18 19:00:00,27.46053
2021-06-18 20:00:00,27.81053
2021-06-18 21:00:00,26.830528
2021-06-18 22:00:00,25.850529
2021-06-18 23:00:00,24.100529
2021-06-19 00:00:00,22.98053
2021-06-19 01:00:00,22.14053
2021-06-19 02:00:00,22.010529
2021-06-19 03:00:00,21.31053
2021-06-19 04:00:00,20.500528
2021-06-19 05:00:00,19.190529
2021-06-19 06:00:00,18.080528
2021-06-19 07:00:00,18.97053
2021-06-19 08:00:00,20.98053
2021-06-19 09:00:00,23.160528
2021-06-19 10:00:00,25.580528
2021-06-19 11:00:00,27.680529
2021-06-19 12:00:00,29.32053
2021-06-19 13:00:00,30.55053
2021-06-19 14:00:00,31.410528
2021-06-19 15:00:00,32.09053
2021-06-19 16:00:00,32.34053
2021-06-19 17:00:00,32.30053
2021-06-19 18:00:00,32.25053
2021-06-19 19:00:00,32.10053
2021-06-19 20:00:00,31.55053
2021-06-19 21:00:00,30.180529
2021-06-19 22:00:00,28.12053
2021-06-19 23:00:00,25.990528
2021-06-20 00:00:00,24.910528
2021-06-20 01:00:00,23.940529
2021-06-20 02:00:00,23.22053
2021-06-20 03:00:00,22.23053
2021-06-20 04:00:00,20.07053
2021-06-20 05:00:00,19.79053
2021-06-20 06:00:00,19.32053
2021-06-20 07:00:00,20.14053
2021-06-20 08:00:00,21.610529
2021-06-20 09:00:00,22.910528
2021-06-20 10:00:00,24.80053
2021-06-20 11:00:00,25.500528
2021-06-20 12:00:00,27.54053
2021-06-20 13:00:00,28.72053
2021-06-20 14:00:00,29.80053
2021-06-20 15:00:00,30.48053
2021-06-20 16:00:00,29.680529
2021-06-20 17:00:00,28.15053
2021-06-20 18:00:00,26.64053
2021-06-20 19:00:00,20.88053
2021-06-20 20:00:00,21.46053
2021-06-20 21:00:00,20.40053
2021-06-20 22:00:00,19.90053
2021-06-20 23:00:00,19.79053
2021-06-21 00:00:00,18.690529
2021-06-21 01:00:00,17.940529
2021-06-21 02:00:00,17.57053
2021-06-21 03:00:00,17.920528
2021-06-21 04:00:00,17.940529
2021-06-21 05:00:00,17.240528
2021-06-21 06:00:00,17.020529
2021-06-21 07:00:00,17.850529
2021-06-21 08:00:00,19.490528
2021-06-21 09:00:00,21.090528
2021-06-21 10:00:00,22.72053
2021-06-21 11:00:00,24.170528
2021-06-21 12:00:00,25.430529
2021-06-21 13:00:00,26.490528
2021-06-21 14:00:00,27.190529
2021-06-21 15:00:00,27.610529
2021-06-21 16:00:00,27.350529
2021-06-21 17:00:00,26.590528
2021-06-21 18:00:00,26.520529
2021-06-21 19:00:00,26.48053
2021-06-21 20:00:00,25.510529
2021-06-21 21:00:00,24.45053
2021-06-21 22:00:00,23.240528
2021-06-21 23:00:00,22.22053
2021-06-22 00:00:00,20.73053
2021-06-22 01:00:00,19.110529
2021-06-22 02:00:00,17.610529
2021-06-22 03:00:00,17.010529
2021-06-22 04:00:00,17.010529
2021-06-22 05:00:00,17.05053
2021-06-22 06:00:00,16.81053
2021-06-22 07:00:00,17.30053
2021-06-22 08:00:00,17.98053
2021-06-22 09:00:00,17.940529
2021-06-22 10:00:00,18.840528
2021-06-22 11:00:00,18.29053
2021-06-22 12:00:00,19.030529
2021-06-22 13:00:00,20.57053
2021-06-22 14:00:00,21.000528
2021-06-22 15:00:00,21.110529
2021-06-22 16:00:00,22.05053
2021-06-22 17:00:00,22.010529
2021-06-22 18:00:00,22.100529
2021-06-22 19:00:00,21.740528
2021-06-22 20:00:00,21.660528
2021-06-22 21:00:00,21.04053
2021-06-22 22:00:00,19.830528
2021-06-22 23:00:00,18.72053
2021-06-23 00:00:00,18.07053
2021-06-23 01:00:00,17.48053
2021-06-23 02:00:00,16.940529
2021-06-23 03:00:00,15.960529
2021-06-23 04:00:00,15.820529
2021-06-23 05:00:00,15.210529
2021-06-23 06:00:00,14.580529
2021-06-23 07:00:00,15.570529
2021-06-23 08:00:00,17.55053
2021-06-23 09:00:00,19.180529
2021-06-23 10:00:00,20.72053
2021-06-23 11:00:00,22.04053
2021-06-23 12:00:00,23.180529
2021-06-23 13:00:00,23.79053
2021-06-23 14:00:00,24.45053
2021-06-23 15:00:00,23.690529
2021-06-23 16:00:00,23.40053
2021-06-23 17:00:00,22.87053
2021-06-23 18:00:00,22.010529
2021-06-23 19:00:00,20.850529
2021-06-23 20:00:00,18.860529
2021-06-23 21:00:00,17.82053
2021-06-23 22:00:00,17.190529
2021-06-23 23:00:00,16.56053
